DATE,MONTH,CITY,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,sunshine,temp_mean,temp_max,temp_min,PRECIPITATION Y/N
20000101.0,1.0,DE_BILT,7.0,2.5,8.0,0.97,1.024,0.11,0.0,6.1,8.1,3.5,True
20000101.0,1.0,DUSSELDORF,8.0,2.5,5.9,0.92,1.024,0.12,0.0,4.2,6.9,2.5,True
20000101.0,1.0,MAASTRICHT,8.0,3.1,7.0,0.98,1.0251,0.06,0.0,5.6,6.9,4.1,True
20000101.0,1.0,MUENCHEN,8.0,2.6,9.4,0.91,1.0273,0.2,0.0,1.7,2.6,-0.5,True
20000101.0,1.0,OSLO,7.0,0.9,5.1,0.94,1.013,0.04,0.0,-5.0,-3.2,-8.6,True
20000102.0,1.0,DE_BILT,8.0,3.7,9.0,0.97,1.0267,0.11,0.0,7.3,8.7,5.4,False
20000102.0,1.0,DUSSELDORF,6.0,3.0,7.4,0.87,1.0283,0.19,0.7,6.5,7.9,2.7,False
20000102.0,1.0,MAASTRICHT,7.0,3.8,9.0,0.95,1.0286,0.14,0.0,6.2,7.5,4.2,False
20000102.0,1.0,MUENCHEN,6.0,2.1,8.2,0.9,1.0321,0.66,6.1,1.9,5.8,-0.2,False
20000102.0,1.0,OSLO,6.0,1.9,5.7,0.94,1.0076,0.11,1.6,-0.8,2.4,-6.7,False
20000103.0,1.0,DE_BILT,8.0,6.1,13.0,0.94,1.0203,0.11,0.0,8.4,9.6,6.4,True
20000103.0,1.0,DUSSELDORF,7.0,5.5,14.3,0.78,1.0235,0.12,0.0,7.7,9.1,6.9,True
20000103.0,1.0,MAASTRICHT,7.0,7.4,14.0,0.87,1.0236,0.15,0.9,6.8,7.9,6.1,True
20000103.0,1.0,MUENCHEN,7.0,2.1,6.9,0.92,1.0317,0.28,0.4,-0.4,0.9,-3.3,False
20000103.0,1.0,OSLO,6.0,1.7,8.7,0.88,1.0016,0.04,0.0,1.2,3.8,-1.1,False
20000104.0,1.0,DE_BILT,7.0,3.8,15.0,0.94,1.0142,0.11,0.0,6.4,9.4,4.3,True
20000104.0,1.0,DUSSELDORF,7.0,6.0,16.8,0.87,1.0162,0.12,0.0,7.8,9.2,6.6,True
20000104.0,1.0,MAASTRICHT,8.0,7.2,15.0,0.92,1.0165,0.07,0.0,7.3,9.0,6.1,True
20000104.0,1.0,MUENCHEN,6.0,2.7,11.7,0.75,1.026,0.58,4.5,3.8,6.6,-2.8,True
20000104.0,1.0,OSLO,1.0,3.4,11.8,0.58,0.9982,0.13,5.3,2.1,5.1,-0.5,False
20000105.0,1.0,DE_BILT,3.0,4.0,12.0,0.9,1.0183,0.48,6.5,4.4,7.4,1.4,False
20000105.0,1.0,DUSSELDORF,4.0,4.5,11.2,0.8,1.0203,0.51,6.5,5.2,8.6,0.4,False
20000105.0,1.0,MAASTRICHT,4.0,4.1,10.0,0.87,1.0205,0.44,6.2,5.2,8.4,0.6,False
20000105.0,1.0,MUENCHEN,5.0,3.3,13.2,0.87,1.0248,0.26,0.2,5.3,7.3,4.3,False
20000105.0,1.0,OSLO,8.0,1.2,5.7,0.94,1.0055,0.05,0.0,-0.7,0.5,-4.0,True
